LOADCNLN02
LOAD   P3A5     1.34570-5.27311.55040-0.0001 -0.0001-0.0002 GLOB JOIN
LOAD   P3A8     -1.3461-5.27351.55050-0.0001 0.000100.00024 GLOB JOIN
LOAD   P3B1     -2.2569-9.49032.89050-0.0002 0.00001-0.0003 GLOB JOIN
LOAD   P3B4     2.25680-9.49042.89080-0.0002  0.00000.00031 GLOB JOIN
LOAD   P3B5     2.15940-9.57222.85830-0.0001 -0.0001-0.0003 GLOB JOIN
LOAD   P3B8     -2.1595-9.57252.85770-0.0001 0.000140.00030 GLOB JOIN
LOAD   P3C1     -1.9445-8.33802.50910-0.0002 0.00004-0.0001 GLOB JOIN
LOAD   P3C4     1.94480-8.33912.50900-0.0002  0.00000.00012 GLOB JOIN
LOAD   P3C5     1.94480-8.34412.50770-0.0002 -0.0001-0.0001 GLOB JOIN
LOAD   P3C8     -1.9446-8.34402.50650-0.0002 0.000100.00012 GLOB JOIN
LOAD   P3D1     -1.8307-7.88242.40150-0.0002 0.00005-0.0001 GLOB JOIN
LOAD   P3D4     1.83000-7.88212.40100-0.0002  0.00000.00011 GLOB JOIN
LOAD   P3D5     1.83060-7.88242.39940-0.0002 -0.0001-0.0001 GLOB JOIN
LOAD   P3D8     -1.8307-7.88282.39900-0.0002 0.000110.00012 GLOB JOIN
